Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Allie,19.0,28.0,33.0,24.0,38.0,35.0,22.0,34.0,54.0,42.0,25.0
Allison,288.0,278.0,281.0,284.0,299.0,351.0,336.0,307.0,271.0,291.0,323.0
Allissa,,,,,,,6.0,,,,
Allisson,,,,,36.0,28.0,26.0,13.0,7.0,10.0,5.0
Alliyah,6.0,8.0,,,8.0,6.0,,9.0,6.0,5.0,
Ally,14.0,21.0,12.0,14.0,10.0,17.0,13.0,16.0,16.0,10.0,17.0
Allyn,5.0,,,,,,,,,,
Allysa,,,,,5.0,,,,,,
Allyson,48.0,58.0,48.0,65.0,70.0,51.0,60.0,53.0,50.0,43.0,37.0
Allyssa,7.0,7.0,8.0,10.0,9.0,7.0,5.0,,5.0,,
Allysson,,,,,,,5.0,,,,
Alma,13.0,16.0,24.0,25.0,20.0,28.0,24.0,14.0,22.0,25.0,36.0
Alona,6.0,,7.0,,5.0,,,,,,
Alondra,35.0,44.0,30.0,30.0,34.0,23.0,25.0,35.0,28.0,29.0,22.0
Alonna,,,5.0,,,,,,,,
Alora,5.0,,,,,6.0,6.0,7.0,10.0,,11.0
Althea,,8.0,,,,,,6.0,6.0,7.0,8.0
Alvina,7.0,,,,,,,,,5.0,
Alya,5.0,,6.0,,,6.0,7.0,,7.0,8.0,5.0
Alyana,8.0,9.0,6.0,7.0,,6.0,7.0,8.0,6.0,5.0,5.0
Alyanna,,,,7.0,5.0,,,7.0,19.0,,
Alyce,5.0,,,,,,,,,,
Alycia,5.0,8.0,9.0,6.0,13.0,17.0,6.0,6.0,,,
Alydia,,,,,,,,,,5.0,
Alyiah,,5.0,5.0,,,,,,,,
Alyna,,,,10.0,7.0,6.0,6.0,,,,
Alysa,12.0,19.0,17.0,10.0,10.0,6.0,12.0,,5.0,,
Alyse,8.0,9.0,9.0,13.0,7.0,5.0,7.0,8.0,11.0,9.0,9.0
Alysha,15.0,9.0,9.0,5.0,13.0,8.0,12.0,6.0,9.0,5.0,
Alysia,6.0,5.0,5.0,13.0,6.0,7.0,5.0,6.0,,,5.0
Alyson,37.0,26.0,35.0,36.0,39.0,28.0,22.0,25.0,28.0,25.0,26.0
Alyssa,731.0,627.0,594.0,563.0,529.0,418.0,428.0,336.0,268.0,263.0,230.0
Alyssandra,,,,,,,,,6.0,,
Alysse,,,,,,5.0,,,,,
Alyssia,12.0,9.0,5.0,6.0,8.0,5.0,9.0,,5.0,,
Alysson,,,,5.0,,,,,,,5.0
Alyvia,10.0,12.0,9.0,14.0,12.0,15.0,11.0,15.0,20.0,22.0,9.0
Alyza,7.0,,5.0,,,,,5.0,,6.0,
Amaia,5.0,5.0,10.0,12.0,11.0,7.0,,7.0,9.0,13.0,10.0
Amaiah,,,,,,,5.0,,,,5.0
Amaiya,8.0,7.0,8.0,,11.0,10.0,6.0,14.0,,,6.0
Amaiyah,,,,,6.0,,,,5.0,,
Amal,5.0,,9.0,12.0,9.0,5.0,8.0,12.0,8.0,8.0,14.0
Amalia,22.0,20.0,20.0,18.0,28.0,35.0,21.0,24.0,35.0,30.0,33.0
Amalie,,5.0,,,,,5.0,5.0,,,5.0
Amalya,,,,,,,5.0,6.0,,,5.0
Amanda,468.0,421.0,356.0,309.0,238.0,204.0,161.0,142.0,155.0,111.0,97.0
Amani,38.0,35.0,34.0,44.0,50.0,62.0,38.0,42.0,35.0,24.0,25.0
Amara,30.0,40.0,27.0,26.0,21.0,35.0,33.0,33.0,35.0,43.0,33.0
Amarah,6.0,7.0,,,,,,,,,8.0
Amare,,,,,,,,,6.0,,
Amari,25.0,13.0,19.0,20.0,31.0,21.0,22.0,19.0,25.0,17.0,15.0
Amaria,,5.0,,,,,5.0,,,,
Amariah,,5.0,6.0,12.0,6.0,6.0,10.0,12.0,,7.0,6.0
Amariana,,,,5.0,9.0,,,6.0,,5.0,5.0
Amarianna,,,,5.0,,,,,7.0,,
Amarie,5.0,9.0,8.0,7.0,,,,,7.0,,
Amaris,19.0,9.0,20.0,15.0,14.0,19.0,14.0,15.0,14.0,7.0,14.0
Amaya,108.0,104.0,99.0,131.0,117.0,109.0,96.0,121.0,131.0,103.0,115.0
