Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aleeza,11.0,12.0,8.0,7.0,8.0,10.0,7.0,6.0,7.0,9.0,7.0
Alegra,,,,,5.0,,6.0,,5.0,,
Alegria,,,,6.0,,,,8.0,,,
Aleia,,,,,5.0,,,,9.0,10.0,
Aleiah,,,,,,,8.0,,5.0,,
Aleida,9.0,12.0,6.0,10.0,9.0,19.0,12.0,12.0,9.0,10.0,10.0
Aleigha,,,,8.0,,5.0,5.0,5.0,6.0,11.0,
Aleina,8.0,,,,6.0,7.0,9.0,8.0,,,
Aleisha,,5.0,,,,,,,,,
Aleiyah,,,6.0,5.0,,5.0,,,8.0,,5.0
Alejah,,,,5.0,,,,,,,
Alejandra,523.0,525.0,458.0,425.0,383.0,350.0,308.0,259.0,214.0,179.0,163.0
Alejandrina,6.0,,,,,,,,,,
Alekhya,,,,,,5.0,,,,,5.0
Aleksa,,,7.0,8.0,,6.0,,,,,
Aleksandra,,13.0,10.0,,18.0,8.0,12.0,14.0,7.0,14.0,11.0
Aleksia,,,,,,,,,,5.0,
Aleli,,,5.0,,,,,,,,
Alena,58.0,60.0,64.0,62.0,62.0,58.0,56.0,43.0,52.0,46.0,68.0
Alenna,,,,,,,6.0,,6.0,,8.0
Alesana,,,,,,,,,,5.0,
Alesandra,7.0,,,5.0,6.0,9.0,9.0,,,,
Alesha,,,5.0,6.0,,,7.0,5.0,,,
Alesia,6.0,,,5.0,,,,,5.0,,
Alessa,5.0,11.0,14.0,17.0,13.0,14.0,10.0,12.0,11.0,19.0,23.0
Alessandra,127.0,135.0,188.0,194.0,190.0,142.0,205.0,186.0,211.0,241.0,243.0
Alessia,8.0,17.0,10.0,19.0,18.0,27.0,20.0,19.0,16.0,22.0,26.0
Alethea,5.0,,,5.0,,,,,,8.0,
Aletheia,,,,,5.0,7.0,,,5.0,,7.0
Alex,28.0,28.0,25.0,26.0,16.0,14.0,25.0,14.0,18.0,17.0,14.0
Alexa,775.0,844.0,1240.0,1159.0,1013.0,1028.0,992.0,906.0,844.0,825.0,849.0
Alexah,5.0,,6.0,,,10.0,5.0,,6.0,,5.0
Alexander,6.0,,5.0,,,,,,,,
Alexandra,968.0,946.0,966.0,868.0,726.0,619.0,584.0,543.0,530.0,506.0,471.0
Alexandrea,21.0,23.0,19.0,17.0,14.0,17.0,14.0,15.0,7.0,8.0,5.0
Alexandria,245.0,244.0,220.0,223.0,202.0,179.0,121.0,177.0,143.0,155.0,187.0
Alexas,5.0,,,,,,,,,,
Alexcia,10.0,6.0,10.0,5.0,,,,,5.0,,
Alexes,5.0,,,,,,,,,,
Alexi,28.0,21.0,29.0,22.0,25.0,16.0,23.0,14.0,18.0,12.0,18.0
Alexia,379.0,310.0,350.0,342.0,281.0,238.0,213.0,220.0,270.0,384.0,257.0
Alexiah,,8.0,,6.0,5.0,,6.0,,,6.0,
Alexiana,,,,,,5.0,,,,,
Alexie,12.0,9.0,9.0,16.0,15.0,16.0,11.0,12.0,,10.0,9.0
Alexis,1467.0,1223.0,1128.0,1030.0,983.0,983.0,863.0,675.0,607.0,529.0,411.0
Alexiss,6.0,,,5.0,,,,,,,
Alexiz,,,,5.0,,,6.0,,,,
Alexsa,5.0,6.0,7.0,9.0,,7.0,,5.0,,,
Alexsandra,37.0,26.0,45.0,25.0,16.0,18.0,11.0,16.0,11.0,,6.0
Alexsia,5.0,5.0,,,6.0,,,,,,
Alexsis,8.0,5.0,5.0,5.0,5.0,,,,,,
Alexssa,,,,,5.0,,,,,,
Alexus,53.0,43.0,34.0,23.0,25.0,19.0,14.0,22.0,17.0,11.0,7.0
Alexxa,,7.0,8.0,8.0,,9.0,6.0,5.0,7.0,15.0,7.0
Alexxia,6.0,,,,,,,,,,
Alexxis,,10.0,,8.0,,,5.0,,,,
Alexy,,5.0,,,,5.0,5.0,,,,
Alexya,,5.0,,,6.0,,6.0,,,,
Alexys,33.0,20.0,25.0,25.0,16.0,16.0,14.0,10.0,8.0,,
Alexyss,5.0,,,,,,,,,,
Alexza,6.0,,5.0,,5.0,5.0,5.0,,,,
Alexzandra,10.0,9.0,13.0,5.0,,5.0,,,,,
Alexzandria,5.0,7.0,7.0,,9.0,6.0,8.0,,,,
Aleya,,9.0,,9.0,8.0,,6.0,6.0,8.0,6.0,7.0
Aleyah,,5.0,7.0,11.0,15.0,7.0,5.0,10.0,17.0,9.0,11.0
Aleyda,12.0,10.0,11.0,10.0,8.0,16.0,10.0,8.0,13.0,,48.0
Aleyna,10.0,5.0,11.0,6.0,12.0,8.0,12.0,17.0,14.0,23.0,20.0
Aleyza,,,,,,,,,,,13.0
Ali,12.0,12.0,16.0,11.0,18.0,18.0,21.0,22.0,22.0,8.0,8.0
Alia,45.0,35.0,44.0,42.0,49.0,59.0,63.0,48.0,54.0,58.0,50.0
Aliah,32.0,31.0,32.0,39.0,39.0,46.0,56.0,43.0,54.0,41.0,41.0
Aliana,27.0,24.0,37.0,47.0,48.0,57.0,42.0,54.0,70.0,65.0,63.0
Alianna,14.0,15.0,24.0,14.0,15.0,21.0,18.0,38.0,32.0,30.0,43.0
Aliannah,,,,,,,8.0,11.0,6.0,9.0,9.0
Alice,121.0,110.0,142.0,140.0,140.0,192.0,253.0,294.0,380.0,392.0,499.0
Alicen,,5.0,,,,5.0,,,,,5.0
Alicia,351.0,402.0,381.0,336.0,300.0,292.0,285.0,228.0,263.0,201.0,175.0
Aliciana,,6.0,,,,,,,,,
Alida,,11.0,,,,,,,5.0,5.0,
Aliena,,,5.0,,,,,,,,
Alijah,8.0,,11.0,5.0,10.0,5.0,,,,,
Alik,,,,,,,,,,,5.0
Alika,,,,,,,,,,,5.0
Alin,6.0,,8.0,14.0,,,,,,5.0,
Alina,208.0,230.0,253.0,523.0,411.0,402.0,357.0,346.0,332.0,347.0,451.0
Alinah,,,6.0,12.0,11.0,7.0,10.0,16.0,14.0,14.0,11.0
Aline,20.0,11.0,15.0,14.0,15.0,23.0,20.0,13.0,12.0,14.0,
Alinna,6.0,9.0,,11.0,7.0,,5.0,,10.0,9.0,17.0
Alis,6.0,,,,,,,,,,
Alisa,57.0,54.0,52.0,47.0,57.0,41.0,60.0,46.0,36.0,39.0,58.0
