Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avigdor,13.0,10.0,6.0,5.0,13.0,8.0,5.0,8.0,10.0,6.0,5.0
Avin,,,,,,,,,,5.0,
Avinash,10.0,9.0,5.0,5.0,5.0,,5.0,,8.0,,
Avion,,,10.0,5.0,8.0,,6.0,5.0,9.0,5.0,6.0
Aviv,,,,6.0,,,6.0,7.0,,,
Avon,,,,5.0,,,,,,,
Avraham,43.0,59.0,45.0,64.0,47.0,69.0,69.0,58.0,62.0,76.0,68.0
Avrahom,,5.0,,,6.0,,,,,,
Avrohom,38.0,35.0,48.0,36.0,38.0,46.0,43.0,37.0,37.0,40.0,36.0
Avrum,10.0,5.0,10.0,11.0,11.0,12.0,23.0,14.0,25.0,20.0,21.0
Avrumi,,,,6.0,,,6.0,6.0,7.0,,
Avrumy,,,,,,,,,6.0,,5.0
Avry,,,,,,6.0,,,,,
Axel,37.0,58.0,42.0,46.0,58.0,69.0,73.0,124.0,112.0,110.0,118.0
Axl,,,,,,,5.0,,,,16.0
Axton,,,,,,,,,,,5.0
Ayaan,14.0,9.0,10.0,19.0,35.0,46.0,38.0,44.0,57.0,59.0,71.0
Ayan,5.0,,,17.0,14.0,18.0,23.0,16.0,20.0,42.0,27.0
Aydan,17.0,20.0,24.0,22.0,35.0,24.0,23.0,13.0,22.0,9.0,14.0
Ayden,82.0,103.0,155.0,209.0,243.0,242.0,288.0,368.0,332.0,289.0,302.0
Aydenn,,,,,,,,8.0,5.0,,
Aydin,12.0,19.0,16.0,15.0,25.0,21.0,28.0,22.0,32.0,27.0,36.0
Ayman,13.0,12.0,15.0,12.0,11.0,10.0,15.0,9.0,20.0,10.0,7.0
Ayomide,6.0,,,6.0,,,,,,,
Ayoub,,,,,,5.0,,,,7.0,7.0
Ayub,,,,,,,,,5.0,,7.0
Ayush,12.0,12.0,8.0,6.0,5.0,,9.0,5.0,5.0,,
Ayyan,,,,,,,7.0,,,,
Azaan,,,,6.0,5.0,7.0,,12.0,15.0,11.0,12.0
Azaiah,,,,,,,,,,6.0,
Azan,,,,6.0,,8.0,12.0,6.0,6.0,6.0,5.0
